Date,Max Heart Rate,Min Heart Rate
10/14/2018,128,70
10/15/2018,140,68
10/16/2018,147,70
10/17/2018,134,70
10/18/2018,140,70
10/19/2018,124,63
10/20/2018,133,70
10/21/2018,123,65
10/22/2018,132,70
10/23/2018,127,66
10/24/2018,137,68
10/25/2018,123,70
10/26/2018,137,71
10/27/2018,123,63
10/28/2018,120,64
10/29/2018,127,70
10/30/2018,127,70
10/31/2018,139,70
11/1/2018,119,70
11/2/2018,115,70
11/3/2018,125,70
11/4/2018,70,70
11/5/2018,140,70
11/6/2018,135,70
11/7/2018,155,70
11/8/2018,129,70
11/9/2018,94,70
11/10/2018,209,61
11/11/2018,157,64
11/12/2018,134,69
11/13/2018,133,70
