Date,Max Heart Rate,Min Heart Rate
10/14/2018,138,77
10/15/2018,140,66
10/16/2018,125,75
10/17/2018,137,74
10/18/2018,135,73
10/19/2018,124,62
10/20/2018,139,71
10/21/2018,138,60
10/22/2018,134,79
10/23/2018,129,68
10/24/2018,127,67
10/25/2018,137,76
10/26/2018,137,75
10/27/2018,137,64
10/28/2018,137,63
10/29/2018,140,72
10/30/2018,126,71
10/31/2018,140,70
11/1/2018,125,79
11/2/2018,135,78
11/3/2018,145,60
11/4/2018,100,70
11/5/2018,110,80
11/6/2018,116,76
11/7/2018,130,75
11/8/2018,138,74
11/9/2018,129,73
11/10/2018,139,62
11/11/2018,146,61
11/12/2018,140,80
11/13/2018,128,75
